data,titulo,empresa,url,status,observacao
2026-04-18 15:33,"Graduate Developer
Graduate Developer",Joveo Ai,https://www.linkedin.com/jobs/view/4403844215/,sem_easy_apply,
2026-04-18 15:33,"Sr. Java Full Stack Developer-Angular
Sr. Java Full Stack Developer-Angular with verification",RELQ TECHNOLOGIES,https://www.linkedin.com/jobs/view/4403832979/,sem_easy_apply,
2026-04-18 15:34,"Senior Product Specialist
Senior Product Specialist with verification",Tata Consultancy Services,https://www.linkedin.com/jobs/view/4403845175/,sem_easy_apply,
2026-04-18 15:34,"Programador CLP - Técnico Automação
Programador CLP - Técnico Automação",Othua Brasil,https://www.linkedin.com/jobs/view/4403842162/,sem_easy_apply,
2026-04-18 15:35,"streaming
streaming",Live Streaming,https://www.linkedin.com/jobs/view/4403835332/,sem_easy_apply,
2026-04-18 15:35,"Estrategista de conteúdo
Estrategista de conteúdo",Head Marketing Médico,https://www.linkedin.com/jobs/view/4400478447/,sem_easy_apply,
2026-04-18 15:36,"AI Trainer - Freelance Data Annotator
AI Trainer - Freelance Data Annotator",Toloka Annotators,https://www.linkedin.com/jobs/view/4403819969/,sem_easy_apply,
2026-04-18 15:40,Graduate Developer,Joveo Ai,https://www.linkedin.com/jobs/view/4403844215/,sem_easy_apply,
2026-04-18 15:41,Sr. Java Full Stack Developer-Angular,RELQ TECHNOLOGIES,https://www.linkedin.com/jobs/view/4403832979/,sem_easy_apply,
2026-04-18 15:41,Senior Full Stack AI Developer,Tata Consultancy Services,https://www.linkedin.com/jobs/view/4403842189/,sem_easy_apply,
2026-04-18 15:42,Programador CLP - Técnico Automação,Othua Brasil,https://www.linkedin.com/jobs/view/4403842162/,sem_easy_apply,
2026-04-18 15:42,Software Engineer,GeorgiaTEK Systems Inc.,https://www.linkedin.com/jobs/view/4403057065/,sem_easy_apply,
2026-04-18 15:42,Senior Backend Engineer (Golang),Fulcrum SaaS,https://www.linkedin.com/jobs/view/4403039978/,sem_easy_apply,
2026-04-18 15:43,Desenvolvedor Delphi,Doper Sistemas,https://www.linkedin.com/jobs/view/4400895984/,sem_easy_apply,
2026-04-18 16:01,Graduate Developer,Joveo Ai,https://www.linkedin.com/jobs/view/4403844215/,sem_easy_apply,
2026-04-18 16:06,Python Developer,Höski,https://www.linkedin.com/jobs/view/4403838484/,sem_easy_apply,
2026-04-18 16:12,Python Developer,Höski,https://www.linkedin.com/jobs/view/4403838484/,enviada,
2026-04-18 16:22,Python Developer,Höski,https://www.linkedin.com/jobs/view/4403838484/,erro,submit não encontrado
2026-04-18 16:32,Desenvolvedor de testes,HwIT - Hardware Innovation Technologies,https://www.linkedin.com/jobs/view/4403054777/,enviada,
2026-04-18 16:41,Python Developer,Höski,https://www.linkedin.com/jobs/view/4403838484/,pulada,campo desconhecido ou sem resposta
2026-04-18 18:20,Python Developer,Höski,https://www.linkedin.com/jobs/view/4403838484/,enviada,
2026-04-18 18:28,Python Developer,Höski,https://www.linkedin.com/jobs/view/4403838484/,pulada,campo desconhecido ou sem resposta
2026-04-18 19:26,Python Developer,Höski,https://www.linkedin.com/jobs/view/4403838484/,pulada,campo desconhecido ou sem resposta
2026-04-19 19:35,Desenvolvedor Integrador RM x Java,SS Service & Softwares,https://www.linkedin.com/jobs/view/4401276622/,pulada,campo desconhecido ou sem resposta
2026-04-19 19:38,Desenvolvedor Integrador RM x Java,SS Service & Softwares,https://www.linkedin.com/jobs/view/4401276622/,pulada,campo desconhecido ou sem resposta
2026-04-19 19:40,Desenvolvedor Integrador RM x Java,SS Service & Softwares,https://www.linkedin.com/jobs/view/4401276622/,pulada,campo desconhecido ou sem resposta
2026-04-19 19:50,PRESENCIAL ALPHAVILLE SP HUNTER B2B Gerente Desenvolvimento de Novos Negocios Telecom e TI,K2A Technology Solutions,https://www.linkedin.com/jobs/view/4401260862/,pulada,campo desconhecido ou sem resposta
2026-04-19 19:54,First-Person Video AI Trainer (Worldwide),Toloka Annotators,https://www.linkedin.com/jobs/view/4404005791/,pulada,campo desconhecido ou sem resposta
2026-04-19 20:02,Chief Executive/Leader,INSECOGO® Worldwide Search & Executive Consultants GmbH,https://www.linkedin.com/jobs/view/4403880862/,pulada,campo desconhecido ou sem resposta
2026-04-19 20:12,Vaga: Desenvolvedor(a) Sênior | Anápolis,Wooba,https://www.linkedin.com/jobs/view/4401269606/,pulada,campo desconhecido ou sem resposta
2026-04-19 20:12,Desenvolvedor Integrador RM x Java,SS Service & Softwares,https://www.linkedin.com/jobs/view/4401276622/,pulada,campo desconhecido ou sem resposta
2026-04-19 20:14,Vaga: Desenvolvedor(a) Sênior | Anápolis,Wooba,https://www.linkedin.com/jobs/view/4401269606/,pulada,campo desconhecido ou sem resposta
2026-04-19 20:15,Desenvolvedor Integrador RM x Java,SS Service & Softwares,https://www.linkedin.com/jobs/view/4401276622/,pulada,campo desconhecido ou sem resposta
